uri	city	type	name	zip	url	address1	address2	within	isni	abbreviation	phone	state	photo	overview	email	successor
http://vivo.ufl.edu/individual/n100249		program;thing;uf;agent;org	Archie F. Carr Fellow					http://vivo.ufl.edu/individual/n44228								
http://vivo.ufl.edu/individual/n101415		thing;uf;center;agent;org	Powell Center for Construction and Environment					http://vivo.ufl.edu/individual/n1378991289								
http://vivo.ufl.edu/individual/n101593		thing;uf;division;agent;org	Division of Cardiology - Jacksonville					http://vivo.ufl.edu/individual/n230011								
http://vivo.ufl.edu/individual/n1017947		program;thing;uf;agent;org	CTSI KL2 Program					http://vivo.ufl.edu/individual/n88481								
http://vivo.ufl.edu/individual/n1023300		program;thing;uf;agent;org	Medical Student Research Program		http://msrp.med.ufl.edu/			http://vivo.ufl.edu/individual/n1466923641								
http://vivo.ufl.edu/individual/n1023301		extensionunit;org;uf;agent;thing	Okaloosa County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023302		extensionunit;org;uf;agent;thing	Pinellas County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023303		extensionunit;org;uf;agent;thing	Sarasota County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023304		extensionunit;org;uf;agent;thing	Seminole County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023305		extensionunit;org;uf;agent;thing	Suwannee County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023306		extensionunit;org;uf;agent;thing	Alachua County Extension Office		http://alachua.ifas.ufl.edu/			http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023307		extensionunit;org;uf;agent;thing	Brevard County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023308		extensionunit;org;uf;agent;thing	Broward County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1023309		extensionunit;org;uf;agent;thing	Calhoun County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n102459		thing;uf;agent;clinicalorganization;org	UF/SPC Partnership Dental Clinic					http://vivo.ufl.edu/individual/n243222								
http://vivo.ufl.edu/individual/n102547		thing;uf;division;agent;org	Pulmonary, Critical Care and Sleep Medicine		http://www.medicine.ufl.edu/pulmon/index.asp			http://vivo.ufl.edu/individual/n2141234302								
http://vivo.ufl.edu/individual/n102608		group;agent;thing;committee;org;uf	Clinical Trial Compliance Oversight Committee					http://vivo.ufl.edu/individual/n368320								
http://vivo.ufl.edu/individual/n102923		department;thing;uf;agent;org	Center for Instructional Technology and Training		http://citt.ufl.edu/			http://vivo.ufl.edu/individual/n203634		CITT						
http://vivo.ufl.edu/individual/n102962		agent;thing;academicdepartment;department;org;uf	Pediatrics - Jacksonville		http://www.hscj.ufl.edu/pediatrics/			http://vivo.ufl.edu/individual/n205954								
http://vivo.ufl.edu/individual/n103056		institute;thing;uf;agent;org	Institute for Advanced Study of the Communication Processes					http://vivo.ufl.edu/individual/n150759		IASCP						
http://vivo.ufl.edu/individual/n103455		thing;uf;division;agent;org	Pathology Administration					http://vivo.ufl.edu/individual/n558844585								
http://vivo.ufl.edu/individual/n104046		department;thing;uf;agent;org	e-Learning Support Services		https://lss.at.ufl.edu/			http://vivo.ufl.edu/individual/n203634		LSS						
http://vivo.ufl.edu/individual/n1043009103		department;thing;uf;agent;org	Arts and Crafts Center					http://vivo.ufl.edu/individual/n18508								
http://vivo.ufl.edu/individual/n104305		department;thing;uf;agent;org	Office of Instructional Resources													
http://vivo.ufl.edu/individual/n1043066		thing;uf;center;agent;org	Center for Studies in Criminology and Law					http://vivo.ufl.edu/individual/n8858828								
http://vivo.ufl.edu/individual/n104363		institute;thing;uf;agent;org	Institute for Early Contact Period Studies					http://vivo.ufl.edu/individual/n366314						The Institute for Early Contact Period Studies was established for the purpose of organizing, encouraging, and sponsoring historical, archaeological, and archival research in the field of first encounters between Europeans and the indigenous peoples of the Americas during the late fifteenth and the sixteenth centuries.  The Institute brings together scholars from various UF departments and divisions as well as scholars from other institutions in this country and abroad into jointly undertaken enterprises.		
http://vivo.ufl.edu/individual/n1045301		extensionunit;org;uf;agent;thing	Levy County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1045302		thing;uf;center;agent;org	Machine Tool Research Center		http://mtrc.mae.ufl.edu/			http://vivo.ufl.edu/individual/n1590995014						<p>The mission of the Machine Tool Research Center is to serve the discrete part manufacturing community. The overall focus of the faculty and students is improving the practicing engineer's ability to produce accurate components in a timely manner; this has important ramifications for both the private and defense sectors. Our approach is to perform fundamental research in support of this goal, while taking care to consider the practical implementation of our research efforts. Through this combined agenda, the center trains students from the high school to graduate levels to have strong analytical/numerical modeling capabilities coupled with good experimental techniques and data analysis skills.</p>  <p>While the historical focus of the MTRC has been macro-scale manufacturing applications, with the addition of new faculty and facilities, new activities in the micro- and nano-scale domains are underway. This multi-scale manufacturing approach matches the current climate within the industry which demands expertise at all length scales. We also recognize that manufacturing in the 21st century requires knowledge in many areas, including structural dynamics, optics and photonics, precision design, heat transfer, and metrology ('the science of measurement'), in order to develop process models and improve efficiency. An important example is the increased use of high-speed machining to produce discrete components in the aerospace, automotive, and biomedical industries from the micrometer to meter scales. This remains a cornerstone of our research efforts.</p>		
http://vivo.ufl.edu/individual/n1045303		extensionunit;org;uf;agent;thing	Polk County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1045304		extensionunit;org;uf;agent;thing	Bay County Extension Office					http://vivo.ufl.edu/individual/n243219								
http://vivo.ufl.edu/individual/n1045305		thing;uf;center;agent;org	Center for Chemical Physics					http://vivo.ufl.edu/individual/n32260;http://vivo.ufl.edu/individual/n8858828						Graduate study and research in the interdisciplinary field of Chemical Physics are offered at the U of F, leading to Ph.D. and M.S. degrees in Chemistry, Physics, or Chemical Engineering.  <p>The aim of the Center for Chemical Physics is to educate graduate students in the experimental, theoretical and computational aspects of Chemical Physics, and to encourage their participation in challenging basic research in the borderline areas between Chemistry and Physics.</p>  <p>Students who in addition are personally interested in applications of Chemical Physics to technical fields have ample opportunities at the University of Florida, which includes one of the most extensive collection of professional schools on a single campus in the U.S.A. Graduate study and research are guided by the listed Faculty members.</p>  <p>&nbsp;</p>  <p>The Graduate School recognizes with a Certificate the knowledge and experience acquired by students who complete the program in Chemical Physics. Financial support for students is available from Graduate School Fellowships, Research Assistantships, and Teaching Assistantships in the different Departments. In addition, the Center for Chemical Physics provides Supplemental Graduate Fellowships to outstanding incoming and first year students.</p>		
http://vivo.ufl.edu/individual/n1045306		thing;uf;center;agent;org	Center for European Studies		http://www.ces.ufl.edu/			http://vivo.ufl.edu/individual/n8858828						<p>The Center for European Studies (CES), housed within the College of Liberal Arts &amp; Sciences (CLAS) at the University of Florida (UF), is a Title VI National Resource Center funded in part by the US Department of Education. CES was created in 2003 and is currently one of just ten Europe/West Europe Title VI Centers in the country.</p>  <p>The goal of these centers as established by the US Department of Education is to assist in the development of area and language skills among the country's best students through fostering rich academic and cultural environments including broad language and areas studies courses, degree options and study abroad opportunities. <a href="http://vivo.ufl.edu/edit/links_european_union.shtml">Title VI centers and other area studies centers</a> also play a critical role in fostering greater international awareness in the broader community through educational programs for state and local government, business organizations, K-12 students and teachers, the media and the general public.</p>		
http://vivo.ufl.edu/individual/n1045307		thing;uf;center;agent;org	Center for Exercise Science					http://vivo.ufl.edu/individual/n243217						<p>Everything from treatments for Parkinson&rsquo;s disease and cardiovascular disease to helping children with Autism is generated from great research universities like the University of Florida.</p>  <p>The University of Florida is the most diverse university in the nation. Virtually any and every program is offered to students at UF. Located all on one campus, students can study anything from medicine to agriculture to exercise physiology to engineering to pharmacy, making the possibilities endless. That gives our researchers a great synergy to work together to solve some of the great medical mysteries.</p>  <p>The Center for Exercise Science researchers are engaged in studies designed to improve our understanding of the basic mechanisms that underlie exercise-induced changes in the body at the organ, tissue, cellular and molecular level. Further, CES scientists are investigating applied topics such as the development of rehabilitation techniques for regaining motor control after stoke, maintaining optimal health and delaying age-related declines in physiological function.</p>  <p>The primary goal of scientists in CES is to improve human health by advancing knowledge through research. Moreover, CES provides an outstanding laboratory environment to educate University of Florida students and post-doctoral fellows who will become the next generation of health-related exercise scientists and clinicians.</p>		
http://vivo.ufl.edu/individual/n1045309		thing;school;uf;agent;org	Fisher School of Accounting		http://warrington.ufl.edu/fsoa/			http://vivo.ufl.edu/individual/n987233						As a professional school in a major public research university, the Fisher School of Accounting (FSOA) is committed to scholarly research, teaching, and service to advance knowledge and prepare future leaders for business, professional, and academic careers.		
http://vivo.ufl.edu/individual/n1045310		thing;uf;agent;library;org	Smathers Library		http://www.uflib.ufl.edu			http://vivo.ufl.edu/individual/n765319					Gville_UF_Library_East06.jpg			
http://vivo.ufl.edu/individual/n104546		department;thing;uf;agent;org	Office of Technology Licensing		http://www.research.ufl.edu/otl/index.html			http://vivo.ufl.edu/individual/n125362								
http://vivo.ufl.edu/individual/n1047045		thing;uf;agent;clinicalorganization;org	UF Health - Baymeadows					http://vivo.ufl.edu/individual/n27238								
http://vivo.ufl.edu/individual/n104835		thing;uf;center;agent;org	Preston A. Wells Jr. Center For Brain Tumor Therapy					http://vivo.ufl.edu/individual/n157597								
http://vivo.ufl.edu/individual/n104840		institute;thing;uf;agent;org	Innovative Nuclear Space Power and Propulsion Institute		http://ufdc.ufl.edu/UF00091281/00001			http://vivo.ufl.edu/individual/n1590995014								
http://vivo.ufl.edu/individual/n104958		thing;uf;center;agent;org	Center for Advanced Construction Information Modeling					http://vivo.ufl.edu/individual/n1378991289								
http://vivo.ufl.edu/individual/n105028		thing;uf;center;agent;org	Center for Research in Pediatric Immune Deficiency		http://expertnet.org/index.cfm?fuseaction=centers.viewCenter&instituteID=5478			http://vivo.ufl.edu/individual/n296228								
http://vivo.ufl.edu/individual/n105150		institute;thing;uf;agent;org	Institute on Aging		http://www.aging.ufl.edu/			http://vivo.ufl.edu/individual/n166017								
http://vivo.ufl.edu/individual/n105277		serviceprovidinglaboratory;corelaboratory;agent;thing;org;laboratory;uf	IoA Genomics, Metabolism and Biomarkers Core		http://www.aging.ufl.edu/?q=genomics_core			http://vivo.ufl.edu/individual/n105150								
http://vivo.ufl.edu/individual/n106094		thing;uf;division;agent;org	Economic Analysis Program					http://vivo.ufl.edu/individual/n217016								
http://vivo.ufl.edu/individual/n106322		thing;uf;center;agent;org	Gulf Coast Research and Education Center		http://gcrec.ifas.ufl.edu/			http://vivo.ufl.edu/individual/n1278103								
http://vivo.ufl.edu/individual/n106573		institute;thing;uf;agent;org	Child Health Research Institute					http://vivo.ufl.edu/individual/n296228						Primary Goal:  Translational research-Latest advances in biomedical research into clinical trials in children.  Focus Areas:  Cutting edge research in genetics, gene therapy, diabetes, transplantation and stem cell therapy.  Specific Aims:  Complement to ongoing research in Health Sciences Departments and Centers.  The Institute will hold a strong alliance to the Shands Children's Hospital for state of art treatment not offered elsewhere in US including highly innovative techniques such as transplantation, investigational gene therapy and/or cell therapy, and novel seizure prediction devices as a highly recognized magnet for patients, particularly those requiring investigative therapies to be positioned for a leading role in higher academic achievement and national recognition realistically hoping to enter the top 10 among American medical schools.		
http://vivo.ufl.edu/individual/n107113		thing;uf;agent;clinicalorganization;org	UF Health - Lem Turner					http://vivo.ufl.edu/individual/n27238								
http://vivo.ufl.edu/individual/n107320		thing;uf;center;agent;org	Center for Informal Science Education					http://vivo.ufl.edu/individual/n366314								
http://vivo.ufl.edu/individual/n107326		thing;uf;agent;clinicalorganization;org	UF Health - Prudential Drive					http://vivo.ufl.edu/individual/n27238								
http://vivo.ufl.edu/individual/n107773		thing;uf;center;agent;org	Florida Trauma Rehabilitation Center for Returning Military Personnel		http://research.phhp.ufl.edu/centers/centers/florida-institute-on-disability-and-rehabilitation-fidr-and-the-florida-trauma-rehabilitation-center-for-returning-military-personnel-ftrc-rmp/			http://vivo.ufl.edu/individual/n987230								
http://vivo.ufl.edu/individual/n107958		department;thing;uf;agent;org	Office of the Controller					http://vivo.ufl.edu/individual/n98138								
