date	uri	precision
1970-01-01T00:00:00	http://vivo.school.edu/individual/n2408624411	y
1970-01-01T00:00:00	http://vivo.school.edu/individual/n3873564891	ym
1970-01-01T00:00:00	http://vivo.school.edu/individual/n654899262	ymd
1970-01-02T00:00:00	http://vivo.school.edu/individual/n5714729999	ymd
1970-01-03T00:00:00	http://vivo.school.edu/individual/n4353308567	ymd
1970-01-04T00:00:00	http://vivo.school.edu/individual/n8992431938	ymd
1970-01-05T00:00:00	http://vivo.school.edu/individual/n171265539	ymd
1970-01-06T00:00:00	http://vivo.school.edu/individual/n6307351371	ymd
1970-01-07T00:00:00	http://vivo.school.edu/individual/n4367445651	ymd
1970-01-08T00:00:00	http://vivo.school.edu/individual/n347050624	ymd
1970-01-09T00:00:00	http://vivo.school.edu/individual/n4865714337	ymd
1970-01-10T00:00:00	http://vivo.school.edu/individual/n7296458678	ymd
1970-01-11T00:00:00	http://vivo.school.edu/individual/n7943056652	ymd
1970-01-12T00:00:00	http://vivo.school.edu/individual/n2553588834	ymd
1970-01-13T00:00:00	http://vivo.school.edu/individual/n2383747433	ymd
1970-01-14T00:00:00	http://vivo.school.edu/individual/n3338923157	ymd
1970-01-15T00:00:00	http://vivo.school.edu/individual/n6592692918	ymd
1970-01-16T00:00:00	http://vivo.school.edu/individual/n9792146292	ymd
1970-01-17T00:00:00	http://vivo.school.edu/individual/n8946012489	ymd
1970-01-18T00:00:00	http://vivo.school.edu/individual/n5593085041	ymd
1970-01-19T00:00:00	http://vivo.school.edu/individual/n781487156	ymd
1970-01-20T00:00:00	http://vivo.school.edu/individual/n6312027287	ymd
1970-01-21T00:00:00	http://vivo.school.edu/individual/n4189979865	ymd
1970-01-22T00:00:00	http://vivo.school.edu/individual/n282487676	ymd
1970-01-23T00:00:00	http://vivo.school.edu/individual/n3219675449	ymd
1970-01-24T00:00:00	http://vivo.school.edu/individual/n8197167959	ymd
1970-01-25T00:00:00	http://vivo.school.edu/individual/n2334496303	ymd
1970-01-26T00:00:00	http://vivo.school.edu/individual/n3254201122	ymd
1970-01-27T00:00:00	http://vivo.school.edu/individual/n6098285554	ymd
1970-01-28T00:00:00	http://vivo.school.edu/individual/n1138228683	ymd
1970-01-29T00:00:00	http://vivo.school.edu/individual/n9010254083	ymd
1970-01-30T00:00:00	http://vivo.school.edu/individual/n6022673677	ymd
1970-01-31T00:00:00	http://vivo.school.edu/individual/n5724084996	ymd
1970-02-01T00:00:00	http://vivo.school.edu/individual/n1534916413	ym
1970-02-01T00:00:00	http://vivo.school.edu/individual/n7905314343	ymd
1970-02-02T00:00:00	http://vivo.school.edu/individual/n6533656488	ymd
1970-02-03T00:00:00	http://vivo.school.edu/individual/n8996657932	ymd
1970-02-04T00:00:00	http://vivo.school.edu/individual/n9205722443	ymd
1970-02-05T00:00:00	http://vivo.school.edu/individual/n4732848279	ymd
1970-02-06T00:00:00	http://vivo.school.edu/individual/n8575263538	ymd
1970-02-07T00:00:00	http://vivo.school.edu/individual/n8139709920	ymd
1970-02-08T00:00:00	http://vivo.school.edu/individual/n2665739619	ymd
1970-02-09T00:00:00	http://vivo.school.edu/individual/n43610299	ymd
1970-02-10T00:00:00	http://vivo.school.edu/individual/n1627208311	ymd
1970-02-11T00:00:00	http://vivo.school.edu/individual/n126496506	ymd
1970-02-12T00:00:00	http://vivo.school.edu/individual/n3855354636	ymd
1970-02-13T00:00:00	http://vivo.school.edu/individual/n7549438398	ymd
1970-02-14T00:00:00	http://vivo.school.edu/individual/n5149247317	ymd
1970-02-15T00:00:00	http://vivo.school.edu/individual/n7180481995	ymd
1970-02-16T00:00:00	http://vivo.school.edu/individual/n5123648338	ymd
1970-02-17T00:00:00	http://vivo.school.edu/individual/n1695617771	ymd
1970-02-18T00:00:00	http://vivo.school.edu/individual/n767490480	ymd
1970-02-19T00:00:00	http://vivo.school.edu/individual/n9243729876	ymd
1970-02-20T00:00:00	http://vivo.school.edu/individual/n3583410644	ymd
1970-02-21T00:00:00	http://vivo.school.edu/individual/n1480507804	ymd
1970-02-22T00:00:00	http://vivo.school.edu/individual/n8961370728	ymd
1970-02-23T00:00:00	http://vivo.school.edu/individual/n6346741566	ymd
1970-02-24T00:00:00	http://vivo.school.edu/individual/n787329328	ymd
1970-02-25T00:00:00	http://vivo.school.edu/individual/n1812922245	ymd
1970-02-26T00:00:00	http://vivo.school.edu/individual/n6957358592	ymd
